City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Bundaberg,AU,-24.85,152.35,86.22,57,100,5.01,overcast clouds
220,Waipawa,NZ,-41.4122,175.5153,63.93,49,70,7.56,broken clouds
221,Hamilton,US,39.1834,-84.5333,36.36,67,100,8.05,overcast clouds
222,Chateauroux,FR,46.8167,1.7,34.75,100,100,4.61,mist
223,Gouyave,GD,12.1646,-61.7296,74.17,88,75,11.5,broken clouds
224,Lebu,CL,-37.6167,-73.65,61.38,91,8,4.36,clear sky
225,Smithers,CA,54.7804,-127.1743,25.12,74,75,3.44,broken clouds
226,Dikson,RU,73.5069,80.5464,1.02,95,100,25.59,overcast clouds
227,Cochrane,CA,51.1834,-114.4687,43.84,30,0,11.5,clear sky
228,Salalah,OM,17.0151,54.0924,71.69,68,20,2.3,few clouds
229,Ishigaki,JP,24.3448,124.1572,73.53,83,75,16.11,broken clouds
230,Yumen,CN,40.2833,97.2,17.6,43,5,6.98,clear sky
231,Prado,BR,-17.3411,-39.2208,76.95,87,16,7.7,few clouds
232,Mpongwe,ZM,-13.5091,28.155,64.0,98,100,3.06,overcast clouds
233,Monywa,MM,22.1167,95.1333,60.82,83,3,6.26,clear sky
234,Barcelos,PT,41.5388,-8.6151,52.68,64,0,6.29,clear sky
235,Skibbereen,IE,51.55,-9.2667,40.8,90,84,4.97,broken clouds
236,Sept-Iles,CA,50.2001,-66.3821,14.05,71,75,10.0,broken clouds
237,Alofi,NU,-19.0595,-169.9187,85.89,70,75,13.8,broken clouds
238,Denpasar,ID,-8.65,115.2167,80.26,83,75,4.61,heavy intensity rain
239,Male,MV,4.1748,73.5089,76.95,69,20,2.3,few clouds
240,Igrim,RU,63.1906,64.4162,5.94,95,99,5.97,overcast clouds
241,Kondoa,TZ,-4.9,35.7833,61.7,91,100,3.33,overcast clouds
242,Korla,CN,41.7597,86.1469,20.75,64,0,3.24,clear sky
243,Locri,IT,38.2414,16.2623,53.94,81,64,10.49,broken clouds
244,Tonj,SS,7.2737,28.6822,73.22,23,61,6.2,broken clouds
245,Manama,BH,26.2154,50.5832,64.38,58,0,23.02,clear sky
246,Tura,IN,25.5198,90.2201,46.83,66,0,2.8,clear sky
247,Luganville,VU,-15.5333,167.1667,78.89,90,100,7.65,overcast clouds
248,Tupancireta,BR,-29.0806,-53.8358,65.59,80,94,16.33,overcast clouds
249,Chiredzi,ZW,-21.05,31.6667,71.76,92,94,8.48,overcast clouds
250,Pangnirtung,CA,66.1451,-65.7125,-14.04,89,100,6.42,overcast clouds
251,Gizo,SB,-8.103,156.8419,79.75,82,100,11.36,overcast clouds
252,Padang,ID,-0.9492,100.3543,75.25,86,100,4.05,overcast clouds
253,Illapel,CL,-31.6308,-71.1653,67.32,71,0,5.44,clear sky
254,Ilulissat,GL,69.2167,-51.1,6.82,72,20,10.36,few clouds
255,Whyalla,AU,-33.0333,137.5833,75.09,69,100,17.27,overcast clouds
256,Dingle,PH,10.9995,122.6711,79.2,86,78,6.73,broken clouds
257,Cabadiangan,PH,9.7531,122.4739,80.96,77,63,5.66,broken clouds
258,Navahrudak,BY,53.6,25.8333,31.95,97,100,16.51,light snow
259,Nayoro,JP,44.3506,142.4578,12.81,88,90,1.32,overcast clouds
260,Lerwick,GB,60.1545,-1.1494,41.0,68,57,9.82,broken clouds
261,Washington,US,47.5001,-120.5015,28.89,79,95,2.91,overcast clouds
262,Caconda,AO,-13.7333,15.0667,60.13,97,100,3.6,light rain
263,Dukat,RU,62.55,155.55,-7.69,100,100,8.7,light snow
264,Goroka,PG,-6.0834,145.3873,73.87,62,93,1.01,overcast clouds
265,Koumac,NC,-20.5667,164.2833,87.03,62,24,5.66,few clouds
266,Namibe,AO,-15.1961,12.1522,74.55,83,100,4.74,overcast clouds
267,Veraval,IN,20.9,70.3667,62.15,38,0,15.23,clear sky
268,Klyuchi,RU,52.2667,79.1667,-6.86,99,94,6.29,overcast clouds
269,Zwedru,LR,6.0667,-8.1281,72.25,91,55,3.31,broken clouds
270,Kahului,US,20.8947,-156.47,84.22,64,20,13.8,few clouds
271,Tual,ID,-5.6667,132.75,84.16,72,96,8.84,overcast clouds
272,Bagotville,AU,-28.9833,153.4167,80.42,90,37,8.21,scattered clouds
273,Tarut,SA,26.5733,50.0369,64.38,46,0,23.11,clear sky
274,Tartagal,AR,-22.5164,-63.8013,69.3,95,100,5.86,overcast clouds
275,Arlit,NE,18.7369,7.3853,59.49,25,46,7.58,scattered clouds
276,Mbandaka,CD,0.0487,18.2603,75.11,54,75,2.59,broken clouds
277,Bogovarovo,RU,58.9785,47.0246,0.61,99,100,4.94,overcast clouds
278,Stolin,BY,51.8912,26.846,33.01,97,100,15.08,light snow
279,Westport,US,41.1415,-73.3579,32.76,72,75,11.01,broken clouds
280,Fairview,US,40.8126,-73.999,31.24,49,0,9.22,clear sky
281,Pochutla,MX,15.7432,-96.4661,82.22,62,16,5.23,few clouds
282,Ballina,AU,-28.8667,153.5667,80.56,75,100,11.5,overcast clouds
283,Eyl,SO,7.9803,49.8164,72.19,71,95,16.49,overcast clouds
284,Weligama,LK,5.9667,80.4167,71.44,87,91,6.6,overcast clouds
285,Bintulu,MY,3.1667,113.0333,75.61,94,20,3.44,few clouds
286,Kisangani,CD,0.5167,25.2,71.17,86,83,2.08,broken clouds
287,Kaliua,TZ,-5.0606,31.7936,66.04,92,100,1.72,overcast clouds
288,Saint-Georges,GD,12.0564,-61.7485,74.88,88,75,11.5,broken clouds
289,Ixtapa,MX,20.7,-105.2,74.43,73,75,12.66,broken clouds
290,Klaksvik,FO,62.2266,-6.589,41.92,73,96,18.37,overcast clouds
291,Nuuk,GL,64.1835,-51.7216,12.81,62,20,10.36,light shower snow
292,Ranong,TH,9.9658,98.6348,74.77,91,40,4.56,scattered clouds
293,Finschhafen,PG,-6.6024,147.8681,85.42,71,98,9.17,overcast clouds
294,Buala,SB,-8.145,159.5921,79.25,86,100,3.85,light rain
