City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Nantucket,US,2022-01-24 04:00:38,41.2835,-70.0995,34.14,75,100,17.0
92,Waipawa,NZ,2022-01-24 04:01:38,-41.4122,175.5153,69.3,86,100,8.84
93,Boa Vista,BR,2022-01-24 04:00:46,2.8197,-60.6733,81.52,61,100,5.64
94,West Hollywood,US,2022-01-24 04:01:39,34.09,-118.3617,66.18,35,0,1.01
95,Mozarlandia,BR,2022-01-24 04:01:39,-14.7447,-50.5706,74.59,81,92,1.77
96,Port Hueneme,US,2022-01-24 03:57:13,34.1478,-119.1951,67.26,51,0,3.15
97,Clyde River,CA,2022-01-24 04:01:40,70.4692,-68.5914,-3.77,84,100,31.07
98,Kirakira,SB,2022-01-24 04:01:41,-10.4544,161.9205,85.86,73,100,5.5
99,Dikson,RU,2022-01-24 04:01:41,73.5069,80.5464,-1.25,95,97,23.4
100,Kruisfontein,ZA,2022-01-24 04:01:42,-34.0033,24.7314,69.84,52,0,11.07
101,Husavik,IS,2022-01-24 04:01:42,66.0449,-17.3389,14.76,80,64,11.56
102,Sept-Iles,CA,2022-01-24 03:59:24,50.2001,-66.3821,10.06,84,75,5.01
103,Kashirskoye,RU,2022-01-24 04:01:43,51.4194,39.6125,21.42,93,100,13.85
104,Qaanaaq,GL,2022-01-24 04:01:43,77.484,-69.3632,-4.02,85,100,3.94
105,Busselton,AU,2022-01-24 04:01:44,-33.65,115.3333,77.18,43,23,18.03
106,Banswara,IN,2022-01-24 04:01:44,23.55,74.45,60.01,42,0,6.53
107,Ponce,PR,2022-01-24 03:56:57,18.073,-66.6185,73.45,80,0,4.47
108,Redcar,GB,2022-01-24 04:01:45,54.6166,-1.06,43.57,1,12,7.74
109,Southbridge,US,2022-01-24 04:01:45,42.0751,-72.0334,29.14,88,100,1.99
110,Tuktoyaktuk,CA,2022-01-24 04:01:46,69.4541,-133.0374,1.89,97,96,7.56
111,Yellowknife,CA,2022-01-24 04:01:46,62.456,-114.3525,-21.44,74,72,5.99
112,Ballina,AU,2022-01-24 04:01:47,-28.8667,153.5667,79.79,70,75,13.11
113,Port Lincoln,AU,2022-01-24 04:00:40,-34.7333,135.8667,74.59,78,29,5.82
114,Krasnovka,RU,2022-01-24 04:01:48,48.8177,40.0923,22.23,94,100,13.98
115,Praia,CV,2022-01-24 04:00:13,14.9215,-23.5087,72.72,76,100,17.2
116,Whitehorse,CA,2022-01-24 04:01:48,60.7161,-135.0538,13.59,95,58,4.61
117,Hirtshals,DK,2022-01-24 04:01:49,57.5881,9.9592,40.86,77,100,25.3
118,Ornskoldsvik,SE,2022-01-24 04:01:49,63.2909,18.7153,27.55,100,95,3.44
119,Iqaluit,CA,2022-01-24 04:01:49,63.7506,-68.5145,-11.31,76,100,8.99
120,Motala,SE,2022-01-24 04:01:50,58.5371,15.0365,42.12,85,91,19.48
121,Leua,SK,2022-01-24 04:01:50,48.2156,18.6071,24.49,86,12,3.78
122,Bethel,US,2022-01-24 04:01:44,41.3712,-73.414,30.56,88,100,1.01
123,Geoagiu,RO,2022-01-24 04:01:51,45.9167,23.2,12.22,90,8,3.76
124,Srednekolymsk,RU,2022-01-24 04:01:51,67.45,153.6833,-24.29,98,100,6.31
125,Fairbanks,US,2022-01-24 04:00:03,64.8378,-147.7164,21.6,89,91,5.21
126,Sistranda,NO,2022-01-24 04:01:52,63.7256,8.834,46.36,98,100,22.24
127,Nuuk,GL,2022-01-24 04:00:35,64.1835,-51.7216,22.8,76,100,12.35
128,Harper,LR,2022-01-24 04:01:53,4.375,-7.7169,76.24,87,6,4.72
129,Hilo,US,2022-01-24 04:00:13,19.7297,-155.09,74.25,90,3,3.0
130,Porto Novo,BJ,2022-01-24 03:57:48,6.4965,2.6036,75.02,82,2,4.14
131,Saldanha,ZA,2022-01-24 04:01:53,-33.0117,17.9442,66.42,91,96,8.75
132,Bonthe,SL,2022-01-24 04:01:54,7.5264,-12.505,74.44,86,20,3.33
133,Mareeba,AU,2022-01-24 04:01:54,-17.0,145.4333,86.32,70,99,7.4
134,Sorong,ID,2022-01-24 04:01:55,-0.8833,131.25,86.34,64,88,4.97
135,Bredasdorp,ZA,2022-01-24 04:01:55,-34.5322,20.0403,66.27,81,58,10.51
136,Do Gonbadan,IR,2022-01-24 04:02:56,30.3586,50.7981,47.32,27,0,2.53
137,Phalaborwa,ZA,2022-01-24 04:02:56,-23.943,31.1411,67.96,68,56,11.41
