City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
66,Bluff,NZ,66.79,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
69,Saldanha,ZA,60.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
70,Kirakira,SB,78.94,overcast clouds,-10.4544,161.9205,SanBiz Lodge
73,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
74,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
75,Faya,SA,51.91,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
76,Huarmey,PE,71.76,overcast clouds,-10.0681,-78.1522,Hotel Miramar
77,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
81,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
87,Ambilobe,MG,72.93,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
89,Atuona,PF,78.24,clear sky,-9.8,-139.0333,Villa Enata
90,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
91,Bubaque,GW,78.46,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
98,Celestun,MX,74.35,scattered clouds,20.8667,-90.4,Posada Lilia
101,Itarema,BR,76.05,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
106,Codrington,AU,68.85,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
108,Kavaratti,IN,78.87,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
109,Daman,IN,64.83,clear sky,20.4167,72.85,Silver Sands Beach Resort
118,Sambava,MG,74.82,scattered clouds,-14.2667,50.1667,Melrose
121,Meru,KE,57.85,scattered clouds,0.0463,37.6559,Meru Paramount Hotel
127,Dhing,IN,55.33,clear sky,26.4667,92.4667,Barua Restaurent
132,Ouesso,CG,69.28,overcast clouds,1.6136,16.0517,ABENIE Hotel
135,Rocha,UY,63.99,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
137,Buckeye,US,70.12,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
141,Upata,VE,75.2,few clouds,8.0086,-62.3989,Posada Villa Nela
144,Atar,MR,65.93,overcast clouds,20.5169,-13.0499,Oumou Elghoura
145,Iralaya,HN,76.91,clear sky,15.0,-83.2333,Iglesia morava renovada
147,Esperance,AU,66.79,scattered clouds,-33.8667,121.9,Hospitality Esperance
152,Lagoa,PT,59.11,few clouds,39.05,-27.9833,Casa Das Faias
161,Constitucion,CL,60.08,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
163,Castro,BR,65.64,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
168,Peruibe,BR,74.84,moderate rain,-24.32,-46.9983,Hotel Pousada Xapuri
173,Mutis,CO,78.21,overcast clouds,6.2262,-77.4044,Paraiso Escondido
175,Kerugoya,KE,56.64,broken clouds,-0.4989,37.2803,Starwood Gardens Hotel
178,Caravelas,BR,76.08,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
180,Bhinmal,IN,54.55,clear sky,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
182,Lompoc,US,68.77,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
183,Abancay,PE,60.89,overcast clouds,-13.6339,-72.8814,Siball Hotel
188,Yenangyaung,MM,62.02,clear sky,20.4667,94.8833,Hotel Country
189,Carnarvon,AU,78.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
194,Coihaique,CL,79.41,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
195,Kawalu,ID,74.48,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
197,Innisfail,AU,79.39,overcast clouds,-17.5333,146.0333,Moondarra Motel
203,Bontang,ID,78.12,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
204,Naze,JP,59.92,overcast clouds,28.3667,129.4833,Shishime Hotel
205,Manggar,ID,78.62,overcast clouds,-2.8833,108.2667,Guest Hotel
206,Gilroy,US,69.48,clear sky,37.0058,-121.5683,Hilton Garden Inn Gilroy
207,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
208,Oudtshoorn,ZA,64.76,scattered clouds,-33.5907,22.2014,Earthbound Guest House
213,Kaitangata,NZ,59.94,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
214,Sinamar,PH,73.85,overcast clouds,16.9,121.5667,Princess Resort
215,Guarapari,BR,78.89,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
216,Taft,IR,53.55,clear sky,31.7471,54.2088,بوم گردی حاجی زینل تفت
217,Ancud,CL,72.93,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
218,Kruisfontein,ZA,64.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
220,Waipawa,NZ,63.93,broken clouds,-41.4122,175.5153,Tora Coastal Walk
223,Gouyave,GD,74.17,broken clouds,12.1646,-61.7296,Rumboat Retreat
224,Lebu,CL,61.38,clear sky,-37.6167,-73.65,Hostal Las Lilas
228,Salalah,OM,71.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
229,Ishigaki,JP,73.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
231,Prado,BR,76.95,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
232,Mpongwe,ZM,64.0,overcast clouds,-13.5091,28.155,Casablanca guest house and bar
233,Monywa,MM,60.82,clear sky,22.1167,95.1333,Monywa Hotel
234,Barcelos,PT,52.68,clear sky,41.5388,-8.6151,Hotel Do Terço
239,Male,MV,76.95,few clouds,4.1748,73.5089,Hotel Octave Maldives
241,Kondoa,TZ,61.7,overcast clouds,-4.9,35.7833,Bab Al Shams Inland Lodge
243,Locri,IT,53.94,broken clouds,38.2414,16.2623,Grand Hotel President
244,Tonj,SS,73.22,broken clouds,7.2737,28.6822,Lakan Hotel
245,Manama,BH,64.38,clear sky,26.2154,50.5832,Al Safir Hotel
247,Luganville,VU,78.89,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
248,Tupancireta,BR,65.59,overcast clouds,-29.0806,-53.8358,Hotel Cassino
249,Chiredzi,ZW,71.76,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
251,Gizo,SB,79.75,overcast clouds,-8.103,156.8419,Imagination Island
252,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
253,Illapel,CL,67.32,clear sky,-31.6308,-71.1653,Hotel Londres
255,Whyalla,AU,75.09,overcast clouds,-33.0333,137.5833,Foreshore Motor Inn
256,Dingle,PH,79.2,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
264,Goroka,PG,73.87,overcast clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
266,Namibe,AO,74.55,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
267,Veraval,IN,62.15,clear sky,20.9,70.3667,Lords Inn Somnath
269,Zwedru,LR,72.25,broken clouds,6.0667,-8.1281,Elijah Worjloh
273,Tarut,SA,64.38,clear sky,26.5733,50.0369,سطحة لسحب ونقل السيارات
274,Tartagal,AR,69.3,overcast clouds,-22.5164,-63.8013,Almuñecar Hotel
275,Arlit,NE,59.49,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
276,Mbandaka,CD,75.11,broken clouds,0.0487,18.2603,Guest House Epervier
283,Eyl,SO,72.19,overcast clouds,7.9803,49.8164,Amiin Hotel
284,Weligama,LK,71.44,overcast clouds,5.9667,80.4167,Weligama Bay Resort
285,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
286,Kisangani,CD,71.17,broken clouds,0.5167,25.2,Grand Ramela Hotel
287,Kaliua,TZ,66.04,overcast clouds,-5.0606,31.7936,Millennium Complex
288,Saint-Georges,GD,74.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
289,Ixtapa,MX,74.43,broken clouds,20.7,-105.2,Hotel Plaza Providencia
292,Ranong,TH,74.77,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
294,Buala,SB,79.25,light rain,-8.145,159.5921,Maringe Lagoon Lodge
297,Harper,LR,79.02,scattered clouds,4.375,-7.7169,Screensaver
300,Salinopolis,BR,74.44,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
301,Kattivakkam,IN,79.07,broken clouds,13.2167,80.3167,Euronova Freezer
303,Axim,GH,78.75,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
